Bodywash Name,Gender,Bodywash Notes (normalized),Recommended Perfume,Matched Notes,Match Strength (0-100),Perfume Notes (first 12),Reasoning
https://i5.walmartimages.com/seo/Irish-Spring-Mens-Body-Wash-Body-Wash-for-Men-All-Skin-Types-Original-Scent-30-fl-oz-Bottle_c0d8d7cf-f793-4fd8-8583-202181be050a.fa065f44a5661bb1cba3f7886e68cd02.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"floral, charcoal",Vaniglia del Madagascar Parfum Concentration,floral → floral (exact),17.5,"lemon, floral, amber, vanilla",Shares key notes (floral → floral); overall match strength 17.5/100.
https://i5.walmartimages.com/seo/Axe-Dark-Temptation-Refreshing-Long-Lasting-Men-s-Body-Wash-Dark-Chocolate-16-fl-oz_0f884ac1-c87f-4277-b2be-4be01685f432.83742c0b5302da4cd72f418501ee99a3.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"amber, wood, ozone, charcoal",Asphalt Rainbow Scratch & Sniff Sticker Set,"amber → amber (exact), wood → wood (exact)",50.0,"rose, rose fragments, spray paint, galbanum, lily of the valley, lychee, ylang, saffron, magnolia, leather, cistus, asphalt","Shares key notes (amber → amber, wood → wood); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Dial-Men-3in1-Body-Hair-and-Face-Wash-Hydro-Fresh-32-fl-oz_649c4936-8f94-439e-89ef-6f1af59e9733.f51dd041ddbde69ba02bed48fda8cc51.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"ozone, sage, rosemary, herbal, charcoal",Tahiti Vanilla Parfum,"sage → sage (exact), rosemary → rosemary (exact)",40.0,"bergamot, key lime, sage, rosemary, tahitian vanilla, jasmine, neroli, mimosa, ylang ylang, patchouly, sandalwood, vetiver","Shares key notes (sage → sage, rosemary → rosemary); overall match strength 40.0/100."
https://i5.walmartimages.com/seo/Old-Spice-Bar-Soap-for-Men-Fiji-with-Palm-Tree-Scent-4-Ct_d5b2ccdd-a15f-4db0-bcb5-9d556967cde9.fcb76b8cf47a500f1be95634eb6f4656.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",66.7,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 66.7/100."
https://i5.walmartimages.com/seo/Old-Spice-Men-s-Body-Wash-Moisturizing-Hydro-Wash-Pure-Sport-Plus-21-oz_66087da0-2b62-478d-9e1d-5d54247a8d24.ca3536a99d0628e9a34a70189bf31e65.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
https://i5.walmartimages.com/seo/Every-Man-Jack-Men-s-Hydrating-Body-Wash-Soap-for-All-Skin-Types-Naturally-Derived-Coconut-and-Vanilla-16-9-Fluid-Ounces_8890c618-1e9c-41f0-a957-8bbca89f4f1a.0f34a4798b92300f8a436fc696d1a4e3.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"vanilla, amber, coconut, charcoal",Comme Un Carrousel Eau de Parfum,"vanilla → vanilla (exact), amber → amber (exact), coconut → coconut (exact)",75.0,"cola, rum, red wine, red apple, honey, basil, rose, orange flower, cinnamon, coconut, clove, tobacco","Shares key notes (vanilla → vanilla, amber → amber, coconut → coconut); overall match strength 75.0/100."
https://i5.walmartimages.com/seo/Old-Spice-Men-s-Body-Wash-Swagger-Cedarwood-Scent-24-fl-oz_ed43e92b-ad56-4eea-9123-d49b438d0c4d.962289e56435b3c38a05297d5529046a.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, cedar, sandalwood, wood, ozone, charcoal",Mon Nom Est Rouge Eau de Parfum,"pepper → pepper (exact), cardamom → cardamom (exact), cedar → cedar (exact), sandalwood → sandalwood (exact), wood → woody balsamic (fuzzy)",68.6,"pepper, lemon, elemi, pink pepper, metallic affect, rose, geranium, cardamom, cumin, cinnamon, ginger, incense","Shares key notes (pepper → pepper, cardamom → cardamom, cedar → cedar, sandalwood → sandalwood); overall match strength 68.6/100."
https://i5.walmartimages.com/seo/Old-Spice-Men-s-Body-Wash-Bearglove-33-4-fl-oz_0a3b6717-c347-4ebd-98e5-a845557bd751.e6a35c12c96461c8dc1269748c9c6924.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, musk, charcoal",Mon Nom Est Rouge Eau de Parfum,"pepper → pepper (exact), cardamom → cardamom (exact), musk → musk (exact)",60.0,"pepper, lemon, elemi, pink pepper, metallic affect, rose, geranium, cardamom, cumin, cinnamon, ginger, incense","Shares key notes (pepper → pepper, cardamom → cardamom, musk → musk); overall match strength 60.0/100."
https://i5.walmartimages.com/seo/Suave-Men-Face-Body-Wash-Refreshing-30-oz_aeb74830-ff1c-4b0d-a3bb-04aa05cdc5fe.581e75137aa995a2ffa23eb6a6d6d71d.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"ozone, charcoal",Lili Laa Eau de Parfum,ozone → ozone (exact),50.0,"lily, ozone, grass, amber, neroli",Shares key notes (ozone → ozone); overall match strength 50.0/100.
https://i5.walmartimages.com/seo/OLD-SPICE-BODY-WASH-FOR-MEN-HOLIDAY-EDITION-24-7-SHOWER-FRESH-SNICKERDUDEL-SUGAR-COOKIE-SCENT16FL-OZ_82d22a3b-df69-4423-abd2-98c5a8d19c17.9c24843a4c08f2d69a5839f445fd6f96.jpeg?odnHeight=580&odnWidth=580&odnBg=FFFFFF,Men,"pepper, cardamom, ozone, charcoal",Mohur Extrait Parfum Extrait,"pepper → pepper (exact), cardamom → cardamom (exact)",50.0,"cardamom, coriander, ambrette, carrot seeds, pepper, elemi, iris, jasmine, rose, violet, almond, leather","Shares key notes (pepper → pepper, cardamom → cardamom); overall match strength 50.0/100."
